#,Spacecraft,Spacewalkers,Start (UTC),End (UTC),Duration
,,"Sellers and Fossum used an infrared camera to shoot 20 seconds of video of selected reinforced carbon-carbon (RCC) panels on the shuttle wing’s leading edge, and then moved to the payload bay to test a shuttle tile repair material known as NOAX on pre-damaged shuttle tiles that were flown in a test container.[83]",,,
252,"ISSExpedition 13
EVA 2","  Jeffrey Williams
  Thomas Reiter","August 3, 2006
14:04","August 3, 2006
19:58","5 h, 54 min"
,,"Williams and Reiter installed the Floating Potential Measurement Unit (FPMU), two materials on Materials International Space Station Experiment (MISSE) containers, a controller for a thermal radiator rotary joint on the S1 truss, a starboard jumper and spool positioning device (SPD) on S1, a light on the truss railway handcart, and installed and replaced a malfunctioning GPS antenna. They then tested an infrared camera designed to detect damage in a shuttle's reinforced carbon-carbon (RCC) thermal protection tiles. Inspection and photography of a scratch on the Quest airlock hatch completed the EVA.[84]",,,
253,"STS-115
EVA 1","  Joe Tanner
  Heidemarie Stefanyshyn-Piper","September 12, 2006
10:17","September 12, 2006
15:43","5 h, 26 min"
,,"Tanner and Stefanyshyn-Piper completed initial installation of the P3/P4 truss onto the space station. They connected the power cables on the truss, and released the launch restraints on the solar array blanket box, the Beta Gimbal Assembly, and the solar array wings. They also configured the Solar Alpha Rotary Joint (SARJ), and removed two circuit interrupt devices to prepare for STS-116. Stefanyshyn-Piper became the seventh American woman to walk in space.[85]",,,
254,"STS-115
EVA 2","  Dan Burbank
  Steven MacLean","September 13, 2006
9:05","September 13, 2006
16:16","7 h, 11 min"
,,"Burbank and MacLean continued installation of the P3/4 truss onto the station, and activated the SARJ.[86]",,,
255,"STS-115
EVA 3","  Joe Tanner
  Heidemarie Stefanyshyn-Piper","September 15, 2006
10:00","September 15, 2006
16:42","6 h, 42 min"
,,"Tanner and Stefanyshyn-Piper installed a radiator onto the P3/4 truss, powered up a cooling radiator for the new solar arrays, replaced an S-Band radio antenna, and installed insulation for another antenna. Tanner took photos of the shuttle’s wings using an infrared camera to test the camera's ability to detect damage.[87]",,,
256,"Expedition 14
EVA 1","  Mikhail Tyurin
  Michael Lopez-Alegria","November 22, 2006
23:17","November 23, 2006
04:55","5 h, 39 min"
,,"An unusual ""Orbiting golf shot"" event was sponsored by a Canadian golf company through the Russian Federal Space Agency. López-Alegría put the tee on the ladder outsidePirs, while Tyurin set up a camera and performed the golf shot. López-Alegría and Tyurin inspected and photographed a Kurs antenna on Progress 23, relocated an Automated Transfer Vehicle (ATV) WAL antenna, installed a BTN neutron experiment, and jettisoned two thermal covers from the BTN.[88]",,,
257,"STS-116
EVA 1","  Robert Curbeam
  Christer Fuglesang","December 12, 2006
20:31","December 13, 2006
03:07","6 h, 36 min"
,,"Curbeam and Fuglesang installed the ISS P5 Truss, replaced a broken video camera on the S1 truss, and prepared the new truss for relocation of the P6 truss to its permanent location.[89]",,,
258,"STS-116
EVA 2","  Robert Curbeam
  Christer Fuglesang","December 14, 2006
19:41","December 15, 2006
00:41","5 h, 00 min"
,,"Curbeam and Fuglesang reconfigured the station's electrical wiring, placing electrical channels 2–3 on the P3/P4 truss into service, thus enabling full advantage of the newsolar arrays. They then relocated two handcarts that run along rails on the station’s main truss, put a thermal cover on the station’s robotic arm, and installed tool bags for future spacewalkers.[40]",,,
259,"STS-116
EVA 3","  Robert Curbeam
  Sunita Williams","December 16, 2006
19:25","December 17, 2006
02:57","7 h, 31 min"
,,"Curbeam and Williams completed rewiring the station's electrical system, activating electrical circuits 1 and 4, preparing for installation of more solar power arrays. They then installed a robotic arm grapple fixture, and positioned three bundles of Russian debris shield panels outside Zvezda. Additional time was spent trying to help retract the P6solar array panel by shaking the panel's blanket box from its base. Williams became the 8th American woman to perform an EVA, and the 9th woman to walk in space overall.[90]",,,
260,"STS-116
EVA 4","  Robert Curbeam
  Christer Fuglesang","December 18, 2006
19:00","December 19, 2006
01:38","6 h, 38 min"
,,"Curbeam and Fuglesang assisted ground controllers with retracting the P6 solar array panels in preparation for moving them during the upcoming flight STS-120. Curbeam, on his seventh spacewalk, set a single-flight EVA record with four spacewalks in a single shuttle mission.[91]",,,
261,"Expedition 14
EVA 2","  Michael Lopez-Alegria
  Sunita Williams","January 31, 2007
15:14","January 31, 2007
23:09","7 h, 55 min"
,,"López-Alegría and Williams reconfigured one of the two cooling loops serving Destiny from the temporary to permanent system, connected a cable for the Station-to-Shuttle Power Transfer System (SSPTS), installed six cable cinches and two winch bars to secure the starboard radiator of the P6 Truss, and then installed a shroud over it. They then removed one of two fluid lines from the Early Ammonia Servicer (EAS) on the P6 Truss in preparation for jettisoning the EAS on a later EVA.[92]",,,
262,"Expedition 14
EVA 3","  Michael Lopez-Alegria
  Sunita Williams","February 4, 2007
13:38","February 4, 2007
20:49","7 h, 11 min"
,,"López-Alegría and Williams reconfigured the second of the two cooling loops serving Destiny from the temporary to permanent system, completed work with the Early Ammonia Servicer (EAS) on the P6 Truss, photographed the inboard end of the P6 starboard solar wing in preparation for its retraction during STS-117, removed a sunshade from a multiplexer-demultiplexer data relay device, and continued work on the SSPTS.[93]",,,
263,"Expedition 14
EVA 4","  Michael Lopez-Alegria
  Sunita Williams","February 8, 2007
13:26","February 8, 2007
20:06","6 h, 40 min"
,,"López-Alegría and Williams removed two thermal shrouds on two Rotary Joint Motor Controllers (RJMC) on the P3 truss, removed two large shrouds from P3 Bays 18 and 20, and jettisoned the shrouds away from the station. They also deployed an Unpressurized Cargo Carrier Assembly Attachment System (UCCAS) on the upper face of the P3 truss, removed two launch locks from the P5 truss, and connected four cables of the SSPTS to the Pressurized Mating Adapter (PMA-2) at the forward end of Destiny where shuttles dock.[94]",,,
264,"Expedition 14
EVA 5","  Michael Lopez-Alegria
  Mikhail Tyurin","February 22, 2007
10:28","February 22, 2007
16:45","6 h, 18 min"
,,"López-Alegría and Tyurin retracted the antenna of the Progress cargo carrier at the aft port of the Zvezda service module, photographed a Russian satellite navigation antenna, and replaced a Russian materials experiment. They also inspected and photographed an antenna for the Automated Transfer Vehicle (ATV), photographed a German robotics experiment, and inspected, remated, and photographed hardware connectors. Tyurin experienced some cooling problems and fogging on his visor during the spacewalk.[95]",,,
265,"Expedition 15
EVA 1","  Oleg Kotov
  Fyodor Yurchikhin","May 30, 2007
19:05","May 31, 2007
00:30","5 h, 25 min"
,,Kotov and Yurchikhin installed Service Module Debris Protection (SMDP) panels on Zvezda and rerouted a Global Positioning System antenna cable.[96],,,
266,"Expedition 15
EVA 2","  Oleg Kotov
  Fyodor Yurchikhin","June 6, 2007
14:23","June 6, 2007
20:00","5 h, 37 min"
,,"Kotov and Yurchikhin installed a section of Ethernet cable on the Zarya module, installed additional Service Module Debris Protection (SMDP) panels on Zvezda, and deployed a Russian scientific experiment.[97]",,,
267,"STS-117
EVA 1","  James F. Reilly
  John D. Olivas","June 11, 2007
20:02","June 12, 2007
02:17","6 h, 15 min"
,,"Reilly and Olivas completed the installation of ISS S3/S4 Truss by attaching bolts, cables, and connectors. They then released the launch restraints on four Solar Array Blanket Boxes in preparation for deployment of the arrays.[98]",,,
268,"STS-117
EVA 2","  Patrick G. Forrester
  Steven Swanson","June 13, 2007
18:28","June 14, 2007
01:44","7 h, 16 min"
,,"Forrester and Swanson assisted in retraction of the solar panels on the P6 Truss. When Forrester tried to install a drive-lock assembly, a partial failure was discovered. The failure was due to the S3/S4 SARJ motor control circuits being wired in reverse. Some launch restraints were left in place to prevent the possibility of undesired rotation.[99]",,,
269,"STS-117
EVA 3","  James F. Reilly
  John D. Olivas","June 15, 2007
17:24","June 16, 2007
01:22","7 h, 58 min"
,,"Reilly and Olivas repaired the Orbital Maneuvering System (OMS) pod thermal blanket, finished the P6 solar array retraction, and installed a hydrogen ventilation valve ontoDestiny.[100]",,,
270,"STS-117
EVA 4","  Patrick G. Forrester
  Steven Swanson","June 17, 2007
16:25","June 17, 2007
22:54","6 h, 29 min"
,,"Forrester and Swanson retrieved a television camera and its support structure from an External Stowage Platform attached to the Quest airlock, and installed it on the S3 truss, verified the Drive Lock Assembly (DLA) 2 configuration, and removed the last six SARJ launch restraints. Then they installed a computer network cable on the Unity node, opened the hydrogen vent valve on the Destiny laboratory, and tethered two orbital debris shield panels on the station’s service module.[101]",,,
271,"Expedition 15
EVA 3","  Clayton Anderson
  Fyodor Yurchikhin","July 23, 2007
10:25","July 23, 2007
18:06","7 h, 41 min"
,,"Anderson and Yurchikhin replaced components for the Mobile Transporter's redundant power system, jettisoned an ammonia tank and flight support equipment, and cleaned the Common Berthing Mechanism (CBM) on the nadir port of Unity.[102][103]",,,
272,"STS-118
EVA 1","  Richard Mastracchio
  Dafydd Williams","August 11, 2007
16:28","August 11, 2007
22:45","6 h, 17 min"
,,"Mastracchio and Williams attached the Starboard 5 (S5) segment of the station’s truss, and retracted the forward heat-rejecting radiator from the station’s Port 6 (P6) truss in preparation for moving the P6 truss to its final location at the end of the port truss.[104]",,,
273,"STS-118
EVA 2","  Richard Mastracchio
  Dafydd Williams","August 13, 2007
15:32","August 13, 2007
22:00","6 h, 28 min"
,,Mastracchio and Williams removed the new Control Moment Gyroscope (CMG) from the shuttle's payload bay and installed it onto the Z1 truss. They then stowed the failed CMG onto an External Stowage Platform (ESP-2) for return to earth in a subsequent shuttle flight.[105],,,
274,"STS-118
EVA 3","  Richard Mastracchio
  Clayton Anderson","August 15, 2007
14:37","August 15, 2007
20:05","5 h, 28 min"
,,"Mastracchio and Anderson moved two Crew Equipment Translation Aid (CETA) carts from the tracks on the left side of the Canadarm2 Mobile Transporter to its right side. They also relocated an antenna base from the P6 truss to P1, and installed a new transponder and signal processor for an S-band communications upgrade. During the EVA, Mastracchio noted a hole in the second layer of material on the thumb of his left glove. The suit has five protective layers, and the small hole did not cause any danger to Mastracchio, but he returned to the airlock early as a precautionary measure.[106]",,,
275,"STS-118
EVA 4","  Dafydd Williams
  Clayton Anderson","August 18, 2007
14:17","August 18, 2007
19:02","5 h, 2 min"
,,"Williams and Anderson retrieved Materials International Space Station Experiment (MISSE) containers 3 and 4, installed the Orbiter Boom Sensor System (OBSS) Boom Stand, installed an External Wireless Instrumentation System (EWIS) antenna, and secured Z1 gimbal locks.[107][108]",,,
276,"STS-120
EVA 1","  Scott Parazynski
  Douglas Wheelock","October 26, 2007
10:02","October 26, 2007
16:16","6 h, 14 min"
,,"Parazynski and Wheelock installed the new Harmony module in its temporary location, retrieved the S-Band Antenna Support Assembly, and prepared for the relocation of the P6 truss by disconnecting fluid lines on the P6/Z1 truss segments.[109]",,,
277,"STS-120
EVA 2","  Scott Parazynski
  Daniel M. Tani","October 28, 2007
09:32","October 28, 2007
16:05","6h, 33min"
,,"Parazynski and Tani disconnected the Z1-to-P6 umbilicals, detached P6 from Z1, configured the S1 radiator, installed handrails onto Harmony, and inspected the S4 starboardSolar Alpha Rotary Joint (SARJ).[110]",,,
278,"STS-120
EVA 3","  Scott Parazynski
  Douglas Wheelock","October 30, 2007
08:45","October 30, 2007
15:53","7 hours, 08 minutes"
,,"Parazynski and Wheelock attached P6 to P5, installed P6/P5 umbilical connections, reconfigured S1 following its redeployment, and inspected the port SARJ. The inspection showed the SARJ to be in good condition.[111]",,,
279,"STS-120
EVA 4","  Scott Parazynski
  Douglas Wheelock","November 3, 2007
10:03","November 3, 2007
17:22","7 hours, 19 minutes"
,,Parazynski and Wheelock inspected and repaired the P6 solar array.[112],,,
280,"Expedition 16
EVA 1","  Peggy Whitson
  Yuri Malenchenko","November 9, 2007
09:54","November 9, 2007
16:49","6 hours, 55 minutes"
,,"Whitson and Malenchenko disconnected and stored the Station-to-Shuttle Power Transfer System cables, stored the PMA-2 umbilical, and stowed a Harmony node avionics umbilical into a temporary position.[113][114]",,,
281,"Expedition 16
EVA 2","  Peggy Whitson
  Daniel Tani","November 20, 2007
10:10","November 20, 2007
17:26","7 hours, 16 minutes"
,,"Whitson and Tani completed half the external configuration of PMA-2 and Harmony. Fluid, electrical, and data lines were attached, avionics lines were hooked up, heater cables were attached, and a fluid tray was relocated.[115]",,,
282,"Expedition 16
EVA 3","  Peggy Whitson
  Daniel Tani","November 24, 2007
09:50","November 24, 2007
16:54","7 hours, 04 minutes"
,,"Whitson and Tani completed fluid, electrical, and data line hookups for PMA-2 and Harmony. They connected the Loop B Fluid Tray to the port side of the Destiny laboratory. They then inspected and photographed the starboard Solar Alpha Rotary Joint (SARJ) to assist with troubleshooting on the ground.[116]",,,
283,"Expedition 16
EVA 4","  Peggy Whitson
  Daniel Tani","December 18, 2007
09:50","December 18, 2007
16:46","6 hours, 56 minutes"
,,"Whitson and Tani inspected the S4 starboard Solar Alpha Rotary Joint (SARJ), and a Beta Gimbal Assembly (BGA). This EVA was the 100th in support of building the International Space Station.[117] Records: 100th EVA in support of assembly and maintenance of the International Space Station.[118][119][120]",,,
284,"Expedition 16
EVA 5","  Peggy Whitson
  Daniel Tani","January 30, 2008
09:56","January 30, 2008
17:06","7 hours, 10 minutes"
,,"Whitson and Tani replaced the Bearing Motor Roll Ring Module on one of the station's solar wings, and inspected and photographed the starboard Solar Alpha Rotary Joint(SARJ).[121]",,,
285,"STS-122
EVA 1","  Rex J. Walheim
  Stanley G. Love","February 11, 2008
14:13","February 11, 2008
22:11","7 hours, 58 minutes"
,,"Walheim and Love installed a grapple fixture on Columbus while it was still in the shuttle’s payload bay, prepared electrical and data connections on Columbus, and replaced the P1 truss nitrogen (N2) tank used for pressurizing the station's ammonia cooling system.[122]",,,
286,"STS-122
EVA 2","  Rex J. Walheim
  Hans Schlegel","February 13, 2008
14:27","February 13, 2008
21:12","6 hours, 45 minutes"
,,"Walheim and Schlegel installed the P1 Truss Nitrogen (N2) tank assembly, stowed the old N2 tank assembly into the shuttle's payload bay, and completed routing for theStation-to-Shuttle Power Transfer System (SSPTS).[123]",,,
287,"STS-122
EVA 3","  Rex J. Walheim
  Stanley G. Love","February 15, 2008
13:07","February 15, 2008
20:32","7 hours, 25 minutes"
,,"Walheim and Love installed the Solar Monitoring Observatory (SOLAR) telescope and the European Technology Exposure Facility (EuTEF) facility onto an External Stowage Platform (ESP) on Columbus. They retrieved a failed Control Moment Gyroscope (CMG), installed the failed CMG into the shuttle's payload bay, and installed keel pin cloth covers on Columbus.[124]",,,
288,"STS-123
EVA 1","  Richard M. Linnehan
  Garrett Reisman","March 14, 2008
01:18","March 14, 2008
08:19","7 hours, 1 minute"
,,"Linnehan and Reisman installed the Japanese Experiment Logistics Module, Pressurized Section (ELM-PS) onto its temporary location on top of Harmony, and began assembly of the Special Purpose Dexterous Manipulator (Dextre) .[125]",,,
289,"STS-123
EVA 2","  Richard Linnehan
  Michael J. Foreman","March 15, 2008
23:49","March 16, 2008
06:57","7 hours, 8 minutes"
,,"Linnehan and Foreman continued assembly of Dextre, and attached two ""arms"" to Dextre.[126]",,,
290,"STS-123
EVA 3","  Richard Linnehan
  Robert L. Behnken","March 17, 2008
22:51","March 18, 2008
05:44","6 hours, 53 minutes"
,,"Linnehan and Behnken completed the assembly of Dextre. The spacewalkers also installed spare equipment for the station onto an external stowage platform (ESP) on theQuest airlock, including a yaw joint for the station’s robotic arm, Canadarm2, and two spare direct current switching units. Their attempt to attach the MISSE 6 experiment onto the Columbus module was unsuccessful as the latching pins failed to engage.[127]",,,
291,"STS-123
EVA 4","  Robert Behnken
  Michael Foreman","March 20, 2008
22:04","March 21, 2008
04:28","6 hours, 24 minutes"
,,"Behnken and Foreman replaced a Remote Power Control (RPC) module, and tested shuttle thermal tile repair materials and techniques. They then removed a cover from the left arm of Dextre, and removed launch locks from the Harmony module. The spacewalkers also released the launch locks on Harmony’s port and nadir Common Berthing Mechanisms (CBM).[128]",,,
292,"STS-123
EVA 5","  Robert Behnken
  Michael Foreman","March 22, 2008
20:34","March 23, 2008
02:36","6 hours, 02 minutes"
,,"Behnken and Foreman completed storage of Shuttle Orbiter Boom Sensor System on the Station, installed the ELM-PS trunnion covers, removed five covers from the starboard SARJ and performed inspections, captured digital photography, and successfully installed of the MISSE 6 experiment on the exterior of the Columbus module.[129]",,,
293,"STS-124
EVA 1","  Ronald J. Garan, Jr.
  Michael E. Fossum","June 3, 2008
16:22","June 3, 2008
23:10","6 hours, 48 minutes"
,,"Garan and Fossum released the straps on the shuttle's robotic arm elbow joint camera, transferred the OBSS back to the shuttle, and repaired the Japanese Experiment Module, Pressurized Module (JEM-PM), named Kibo, for installation. They also replaced a trundle bearing assembly on the starboard Solar Alpha Rotary Joint, and inspected damage on the SARJ.[130][131]",,,
294,"STS-124
EVA 2","  Ronald J. Garan, Jr.
  Michael E. Fossum","June 5, 2008
15:04","June 4, 2008
22:15","7 hours, 11 minutes"
,,"Garan and Fossum installed covers and external television equipment on the JEM, prepared the RMS, prepared for the relocation of the ELM-PS, prepared a depleted nitrogen tank assembly for removal, and prepared a new one stowed on an external stowage platform for installation. They also removed a television camera with a failed power supply.[132][133]",,,
295,"STS-124
EVA 3","  Ronald J. Garan, Jr.
  Michael E. Fossum","June 8, 2008
13:55","June 8, 2008
20:28",6 hours 33 minutes
,,"Garan and Fossum remove and replaced the starboard nitrogen tank assembly, finished fitting out the Kib? laboratory, and reinstalled the removed television camera with a repaired power supply.[133]",,,
296,"Expedition 17
EVA 1","  Sergei Volkov
  Oleg Kononenko","July 10, 2008
18:48","July 11, 2008
01:06",6 hours 18 minutes
,,Volkov and Kononenko removed a pyrotechnic bolt from the docked Soyuz.[134][135],,,
297,"Expedition 17
EVA 2","  Sergei Volkov
  Oleg Kononenko","July 15, 2008
17:08","July 15, 2008
23:02",5 hours 54 minutes
,,"Volkov and Kononenko installed a docking target on the Zvezda service module, installed the Vsplesk experiment, straightened the ham radio antenna, and retrieved the Biorisk experiment.[136]",,,
298,"Shenzhou 7
EVA 1","  Zhai Zhigang
  Liu Boming (Stand up only)","September 27, 2008
08:38","September 27, 2008
09:00",0 hours 22 minutes
,,This was the first EVA conducted by China.[137] Zhai collected an experimental package from the outside of the spacecraft and waved a Chinese flag towards a TV camera. Liu supported Zhai's activities while standing in the hatchway.[138],,,
299,"STS-126
EVA 1","  Heidemarie Stefanyshyn-Piper
  Stephen G. Bowen","November 18, 2008
18:09","November 19, 2008
01:01","6 hours, 52 minutes"
,,"Stefanyshyn-Piper and Bowen transferred an empty nitrogen tank assembly from ESP3 to the shuttle’s cargo bay, transferred a new flex hose rotary coupler to ESP3 for future use, removed an insulation cover on the Kibo External Facility berthing mechanism, began cleaning and lubrication of the starboard SARJ, and replaced its 11 trundle bearing assemblies.[139][140]",,,
300,"STS-126
EVA 2","  Heidemarie Stefanyshyn-Piper
  Robert S. Kimbrough","November 20, 2008
17:58","November 21, 2008
00:43","6 hours, 45 minutes"
,,"Stefanyshyn-Piper and Kimbrough relocated the two Crew and Equipment Translation Aid (CETA) carts from the starboard side of the Mobile Transporter to the port side, lubricated the station robotic arm’s latching end effector A snare bearings, and continued cleaning and lubrication of the starboard SARJ.[141][142]",,,
301,"STS-126
EVA 3","  Heidemarie Stefanyshyn-Piper
  Stephen G. Bowen","November 22, 2008
18:01","November 23, 2008
01:58","6 hours, 57 minutes"
,,Stefanyshyn-Piper and Bowen completed cleaning and lubrication of all but one of the trundle bearing assemblies (TBA) on the starboard SARJ. The final TBA will be replaced during EVA 4.[143][144],,,
302,"STS-126
EVA 4","  Stephen G. Bowen
  Robert S. Kimbrough","November 24, 2008
18:24","November 25, 2008
00:31","6 hours, 7 minutes"
,,"Bowen and Kimbrough completed the replacement of the trundle bearing assemblies on starboard SARJ, lubricated the port SARJ, installed a video camera, re-installed insulation covers on the Kibo External Facility berthing mechanism, performed Kibo robotic arm grounding tab maintenance, installed spacewalk handrails on Kibo, installed Global Positioning Satellite (GPS) antennae on Kibo, photographed radiators, and photographed trailing umbilical system cables.[145]",,,
303,"Expedition 18
EVA 1","  Yuri Lonchakov
  Michael Fincke","December 23, 2008
00:51","December 23, 2008
06:29","5 hours, 38 minutes"
,,"Lonchakov and Fincke installed the electromagnetic energy measuring device, (Langmuir probe) on Pirs, removed the Russian Biorisk long-duration experiment, installed the Expose-R experiment package on Zvezda, and installed the Impulse experiment.[146]",,,
304,"Expedition 18
EVA 2","  Yuri Lonchakov
  Michael Fincke","March 10, 2009
16:22","March 10, 2009
21:11","4 hours, 49 minutes"
,,"Lonchakov and Fincke installed the EXPOSE-R onto the universal science platform of the Zvezda module, removed tape straps from the area of the docking target on the Pirsairlock and docking compartment, inspected and photographed the exterior of the Russian portion of the station.[147]",,,
305,"STS-119
EVA 1","  Steven R. Swanson
  Richard R. Arnold","March 19, 2009
17:16","March 19, 2009
23:23","6 hours, 7 minutes"
,,"Swanson and Arnold installed the Starboard 6 (S6) truss to the S5 truss, connected S5/S6 umbilicals, released launch restraints, removed keel pins, stored and removed thermal covers, and deployed the S6 photovoltaic radiator.[148]",,,
306,"STS-119
EVA 2","  Steven R. Swanson
  Joseph M. Acaba","March 21, 2009
16:51","March 21, 2009
23:21","6 hours, 30 minutes"
,,"Swanson and Acaba prepared a worksite for STS-127, installed an unpressurized cargo carrier attachment system on the P3 truss, installed of a Global Positioning Systemantenna to the Kibo laboratory, and took infrared images of panels of the radiators on the P1 and S1 trusses.[149]",,,
307,"STS-119
EVA 3","  Joseph M. Acaba
  Richard R. Arnold","March 23, 2009
15:37","March 23, 2009
22:04","6 hours, 27 minutes"
,,"Acaba and Arnold relocated a crew equipment cart, lubricated the station arm's grapple snares, and attempted to deploy a cargo carrier.[150]",,,
308,"STS-125
EVA 1","  John M. Grunsfeld
  Andrew J. Feustel","May 14, 2009
12:52","May 14, 2009
20:12","7 hours, 20 minutes"
,,"Replaced the Wide Field and Planetary Camera 2 (WFPC 2) with Wide Field Camera 3 (WFPC III), replaced the Science Instrument Command and Data Handling Unit, lubricated three of the shroud doors, and installed a mechanism for spacecraft to capture Hubble for de-orbit at the end of the telescope's life (Soft Capture Mechanism).[151][152][153]",,,
309,"STS-125
EVA 2","  Michael J. Massimino
  Michael T. Good","May 15, 2009
12:49","May 15, 2009
20:45","7 hours, 56 minutes"
,,Removed and replaced all three of Hubble's gyroscope rate sensing units (RSUs). Removed the first of two battery unit modules.[154][155],,,
310,"STS-125
EVA 3","  John M. Grunsfeld
  Andrew J. Feustel","May 16, 2009
13:35","May 16, 2009
20:11","6 hours, 36 minutes"
,,Removed COSTAR corrective optics package and installed Cosmic Origins Spectrograph. Repaired Advanced Camera for Surveys including get-ahead by completing steps from EVA-5.[156],,,
311,"STS-125
EVA 4","  Michael J. Massimino
  Michael T. Good","May 17, 2009
13:45","May 17, 2009
21:47","8 hours, 2 minutes"
,,Repaired Space Telescope Imaging Spectrograph.[157],,,
312,"STS-125
EVA 5","  John M. Grunsfeld
  Andrew J. Feustel","May 18, 2009
13:20","May 18, 2009
20:22","7 hours, 2 minutes"
,,"The twenty third and final spacewalk to service Hubble and last planned EVA from the Shuttle airlock replaced the final battery module, installed Fine Guidance Sensor No. 3, removed degraded insulation panels from bays 8, 5 and 7, and installed three New Outer Blanket Layer (NOBL)s in their place, and removed and reinstalled a protective cover around Hubble's low-gain antenna.[158][159][160]",,,
313,"Expedition 20
EVA 1","  Gennady Padalka
  Michael R. Barratt","June 5, 2009
7:52","June 5, 2009
12:46","4 hours, 54 minutes"
,,"Prepared the Zvezda service module transfer compartment for the arrival of the Mini-Research Module 2, installed docking antenna for the module, photographed antenna for evaluation on the ground, and photographed the Strela-2 crane.[161][162]",,,
314,"Expedition 20
EVA 2","  Gennady Padalka
  Michael R. Barratt","June 10, 2009
6:55","June 10, 2009
7:07",12 minutes
,,"Internal spacewalk in the depressurized Zvezda transfer compartment, replaced one of the Zvezda hatches with a docking cone, in preparation for the docking of the Mini-Research Module 2, or MRM2, later this year. The MRM2 will dock automatically to the zenith port of Zvezda, and serve as an additional docking port for Russian vehicles.[163]",,,
315,"STS-127
EVA 1","  David Wolf
  Timothy L. Kopra","July 18, 2009
16:19","July 18, 2009
21:51","5 hours, 32 minutes"
,,JEF installed and P3 Nadir UCCAS deployed. S3 Zenith Outboard PAS deploy postponed due to time constraints.,,,
316,"STS-127
EVA 2","  David Wolf
  Thomas Marshburn","July 20, 2009
15:27","July 20, 2009
22:20","6 hours, 53 minutes"
,,"Transferred Orbital Replacement Units (ORUs) from the Shuttle Integrated Cargo Carrier (ICC) to the External Stowage Platform-3 (ESP3). Transferred materials included a spare high-gain antenna, cooling-system pump module and spare parts for the Mobile Servicing System. JEF Visual Equipment (JEF-VE) installation on the forward section was postponed due to time constraints.",,,
317,"STS-127
EVA 3","  David Wolf
  Christopher Cassidy","July 22, 2009
14:32","July 22, 2009
20:31","5 hours, 59 minutes"
,,"JPM preparation work, ICS-EF MLI, and P6 battery replacement (2 of 6 units). EVA was cut short due to high levels of CO2 in Cassidy's suit.",,,
318,"STS-127
EVA 4","  Thomas Marshburn
  Christopher Cassidy","July 24, 2009
13:54","July 24, 2009
21:06","7 hours, 12 minutes"
,,P6 battery replacement (final 4 of 6).,,,
319,"STS-127
EVA 5","  Thomas Marshburn
  Christopher Cassidy","July 27, 2009
11:33","July 27, 2009
16:27","4 hours, 54 minutes"
,,"SPDM thermal cover adjustment, Z1 patch panel reconfiguration, JEM visual equipment (JEM-VE) installation (forward and aft), and JEM-LTA reconfigurations. S3 Nadir PAS (outboard) deployment postponed to later mission.",,,
320,"STS-128
EVA 1","  John D. Olivas
  Nicole P. Stott","September 1, 2009
21:49","September 2, 2009
04:24","6 hours, 35 minutes"
,,"Prepared for the replacement of an empty ammonia tank on the station’s port truss by releasing its bolts. Retrieved the Materials International Space Station Experiment andEuropean Technology Exposure Facility mounted outside the Columbus laboratory, and stowed them in Discovery’s cargo bay for their return to Earth.",,,
321,"STS-128
EVA 2","  Christer Fuglesang
  John D. Olivas","September 3, 2009
22:13","September 4, 2009
04:51","6 hours, 39 minutes"
,,"Removed the new ammonia tank from the shuttle's payload bay and replaced it with the used tank from the station. The new tank, weighing about 1,800 pounds (820 kg), was the most mass ever moved by spacewalking astronauts.",,,
322,"STS-128
EVA 3","  Christer Fuglesang
  John D. Olivas","September 5, 2009
20:39","September 6, 2009
03:40","7 hours, 1 minute"
,,"Preparations for the arrival of the Tranquility node by attaching cables between the starboard truss and the Unity node, the area where Tranquility will be installed. Tranquility is targeted to arrive on STS-130 in February 2010. The spacewalkers also replaced a communications sensor device, installed two new GPS antennas, and replaced a circuit breaker.",,,
323,"STS-129
EVA 1","  Michael Foreman
  Robert Satcher","November 19, 2009
14:24","November 19, 2009
21:01","6 hours, 37 minutes"
,,Installed a spare antenna on the station’s truss and a bracket for ammonia lines on the Unity module. Lubricated the grapple mechanism on the Payload Orbital Replacement Unit Attachment Device on the Mobile Base System and lubricated the snares of the hand of the station's Japanese robotic arm. Deployed the S3 outboard Payload Attach System.,,,
324,"STS-129
EVA 2","  Michael Foreman
  Randolph Bresnik","November 21, 2009
14:31","November 21, 2009
20:39","6 hours, 8 minutes"
,,Installed the GATOR (Grappling Adaptor to On-Orbit Railing) bracket to the Columbus laboratory and an additional ham radio antenna. Installed on the truss an antenna for wireless helmet camera video. Relocated the Floating Potential Measurement Unit that records electrical potential around the station as it orbits the Earth. Deployed two brackets to attach cargo on the truss.,,,
325,"STS-129
EVA 3","  Robert Satcher
  Randolph Bresnik","November 23, 2009
13:24","November 23, 2009
19:06","5 hours, 42 minutes"
,,"Installed new High Pressure Gas Tank (HPGT) on Quest airlock. Installed MISSE-7A and 7B on ELC-2. Strapped two micrometeoroid and orbital debris (MMOD) shields to External Stowage Platform #2. Relocated foot restraint, released a bolt on Ammonia Tank Assembly, installed insulated covers on cameras on mobile servicing system and Canadarm 2's end effector. Worked heater cables on docking adapter.",,,
326,"Expedition 22
EVA 1","  Oleg Kotov
  Maksim Surayev","January 14, 2010
10:05","January 14, 2010
15:49","5 hours, 44 minutes"
