marshall space flight center :368
stability and control maneuvers :4
stability and control at :4
sta bility and control :4
srl ∞ nikeapache sounding :4
srl ∞ nasa aerobee :4
sr71 strategic reconnaissance aircraft :4
sr list ∞ apollo :4
sponsored jointly by nasa :4
sponsored by national academy :4
speeds of up to :4
speeds of more than :4
speed and altitude records :4
spectra of lowenergy protons :4
special assistant to associate :4
spaceâ€ was functioning normally :4
spacecraft would remain in :4
spacecraft would dock with :4
spacecraft which softlanded on :4
spacecraft were to be :4
spacecraft was launched from :4
spacecraft to mars in :4
spacecraft to launch vehicle :4
spacecraft systems performed according :4
spacecraft separated from centaur :4
spacecraft on the moon :4
spacecraft launched by nasa :4
spacecraft landings at sea :4
spacecraft into earth orbit :4
spacecraft in orbit and :4
spacecraft funded by noaa :4
spacecraft entered orbit with :4
spacecraft center press conference :4
spacecraft as well as :4
spacecraft a chronology nasa :4
space transportation system sts :4
space technology laboratories in :4
space technology laboratories bay :4
space technology editorial commented :4
space task group at :4
space systems div of :4
space stations would be :4
space station would be :4
space station to be :4
space station scheduled for :4
space station salyut 5 :4
space station had been :4
space shuttle would be :4
space shuttle space tug :4
space shuttle pro gram :4
space shuttle orbiter was :4
space shuttle main engines :4
space shuttle launch processing :4
space set by the :4
space sciences said in :4
space research organization and :4
space program of the :4
space program he said :4
space program and the :4
space program advisory council :4
space processing applications rocket :4
space meeting in new :4
space for violations of :4
space flight including the :4
space flight center which :4
space flight center scientists :4
space flight center received :4
space flight center on :4
space flight center by :4
space div to provide :4
space development agency announced :4
space craft had completed :4
space craft had been :4
space co solar physics :4
space centerâ€™s launch complex :4
space center nasa aboard :4
space center launch complex :4
space center in preparation :4
space center had awarded :4
space agency and the :4
space age has been :4
space act 1966 149 :4
space 19151960 compiled by :4
soyuz ix cosmonauts andrian :4
soviet union had been :4
soviet supersonic transport tu144 :4
soviet record for time :4
soviet foreign minister andrey :4
soviet delegation was headed :4
soviet coat of arms :4
southern corn leaf blight :4
sources are listed only :4
sourcebooks and special bibliographies :4
sounding rockets would be :4
sounding rockets launched by :4
sounding rockets from terls :4
sounding rockets carrying chemical :4
sounding rocket launches are :4
sounding rocket from wal :4
sounding rocket from andoeya :4
sounding rocket data sheets :4
some of the refer :4
some of the more :4
some of the experimenters :4
solar wind composition experiment :4
solar wind and the :4
solar panels and locked :4
solar astronomy and earth :4
solar and geothermal energy :4
sodiumvapor payload was launched :4
society of professional engineers :4
society meeting in new :4
society in washington dc :4
society for the history :4
so that we can :4
so that scientists could :4
so that it would :4
small medium and large :4
small astronomy satellite launched :4
skylab orbital workshop was :4
skylab mission in 1973 :4
skylab 4 the third :4
skylab 3 astronauts alan :4
size of the earth :4
size and weight of :4
situation report governmental announcements :4
site on the moon :4
since world war 11 :4
since landing on moon :4
similar to those in :4
silverstein director of nasa :4
sikorsky aircraft div of :4
signed the operating agreement :4
signed by nasa and :4
signed an agreement with :4
signed an agreement to :4
shuttle solid rocket booster :4
shuttle launch and landing :4
shuttle and space station :4
show at le bourget :4
should be devoted to :4
should be allowed to :4
shepard jr and edgar :4
sheets issued after launches :4
share for first quarter :4
several hundred miles from :4
seven spacecraft designed to :4
sessions had been held :4
services and other administrative :4
service with nasa and :4
service medal nasaâ€™s highest :4
service in the us :4
served as deputy director :4
served as chairman of :4
serve as chairman of :4
serve as acting director :4
series to obtain data :4
series of tests to :4
series of articles on :4
series first had been :4
sequential collation of range :4
sequence but their history :4
september 14 astronautics and :4
separated from centaur deployed :4
sent to the moon :4
senior vice president in :4
senior vice president and :4
send men to the :4
senator clinton p anderson :4
senate confirmed the nomination :4
senate committee on foreign :4
senate committee on commerce :4
senate by unanimous vote :4
senate by a vote :4
sen william proxmire d :4
sen stuart symington dmo :4
sen joseph s clark :4
sen john v tunney :4
sen jacob k javits :4
sen henry m jackson :4
sen harrison schmitt rnm :4
sen ate committee on :4
sen a s mike :4
selected general electric co :4
selected by nasa for :4
seitz president of the :4
seems to be a :4
seem to be a :4
see us marine corps :4
see us air force :4
see transportation dept of :4
see to it that :4
see thumba equatorial rocket :4
see space transportation system :4
see smithsonian astrophysical ob :4
see service propulsion system :4
see power sources nuclear :4
see portable life support :4
see office of science :4
see office of naval :4
see multiple docking adapter :4
see manned space flight :4
see lunar landing training :4
see large space telescope :4
see international geophysical year :4
see international association of :4
see general electric co :4
see federal aviation administra :4
see energy research and :4
see earth resources technology :4
see defense satellite communica :4
see dec 8 19661 :4
see committee on space :4
see command and service :4
see columbia broadcasting system :4
see clear air turbulence :4
see california univ of :4
see british overseas airways :4
see british interplanetary society :4
see atlantic missile range :4
see arnold engineering develop :4
see apollosoyuz test project :4
see american assn for :4
see airborne warning and :4
see air transport assn :4
see aerospace industries assn :4
secretary robert s mcnamara :4
secretary of transportation james :4
secretary of transportation alan :4
secretary of state henry :4
secretary of defense clark :4
secre tary of the :4
secre tary of state :4
secondary mission spacecraft would :4
secondary mission pilot performed :4
second satellite entered orbit :4
second quarter of 1977 :4
second of a series :4
second manned space flight :4
second manned lunar landing :4
second burn of the :4
second and third stages :4
search range carried univ :4
search for life on :4
seamans jr former nasa :4
scout jr space probe :4
scientists to participate in :4
scientists had theorized that :4
scientists had concluded that :4
scientists from us and :4
scientists engineers and physicians :4
scientists and engineers working :4
scientists and engineers decreased :4
scientific experiments had been :4
scientific data on the :4
scientific and technical experiments :4
scientific and techni cal :4
scientific and engineer ing :4
sciences meeting in new :4
sciences favorably reported hr :4
sciences and the national :4
science institute in houston :4
science foundation director dr :4
science editorial commented on :4
science and technology would :4
science and technology the :4
science and technology by :4
science and technology but :4
science and astronautics was :4
science and astronautics to :4
science and astronautics that :4
science and astronautics subcommittee :4
science and astronautics said :4
science and astronautics introduced :4
science and astronautics had :4
science and astronautics began :4
science and astronautics 1963 :4
science and applications would :4
science and applications told :4
science and applications subcommittee :4
science and applications programs :4
science and applications office :4
science and applications of :4
science and applications had :4
science and applications at :4
science adviser frank press :4
sci ence and astronautics :4
schirra capt usn and :4
scheduled to arrive at :4
scheduled for launch nov :4
scheduled for launch may :4
scheduled for launch july :4
scale model of the :4
saturn v booster was :4
saturn v booster sict :4
saturn v booster at :4
saturn i and ib :4
saturn and its rings :4
satisfactorily but scientific objectives :4
satellites were part of :4
satellites over the atlantic :4
satellites in synchronous orbit :4
satellites could be used :4
satellites as well as :4
satellites and sounding rockets :4
satellite with atlasagena d :4
satellite was in orbit :4
satellite system to provide :4
satellite system to be :4
satellite situation report governmental :4
satellite reentered oct 2 :4
satellite reentered oct 12 :4
satellite on titan iiibagena :4
satellite into transfer orbit :4
satellite into polar orbit :4
satellite into orbit with :4
satellite from western test :4
satellite from hammaguir range :4
satellite corp on behalf :4
satellite com munications system :4
satellite carrying amateur radio :4
satellite achieved nearly polar :4
sands n mex with :4
sands missile range carried :4
sands missile range and :4
san marco launch platform :4
salyut 2 space station :4
said this was the :4
said there would be :4
said there were no :4
said there was a :4
said the us had :4
said the satellite carried :4
said that the soviets :4
said that if the :4
said that although the :4
said n y t :4
said it had received :4
said it had been :4
said in washington sunday :4
said in the washington :4
said in science article :4
said in letter to :4
said in keynote address :4
said in address to :4
said at news conference :4
safety and consumer affairs :4
safely to earth with :4
s swenson james m :4
s mike monroney dokla :4
s ichtiaque rasool deputy :4
s fred singer director :4
s foster jr director :4
s for successful p :4
s f c release :4
s and foreign scientists :4
russians to the moon :4
russia and the united :4
rpt srl ∞ senate :4
rpt srl ∞ dr :4
rotor systems research aircraft :4
rockwell international corp in :4
rockwell corpâ€™s rocketdyne div :4
rockets would be fired :4
rockets launched by nasa :4
rockets from point barrow :4
rocket would be used :4
rocket was successfully fired :4
rocket was launched in :4
rocket technology detroit wayne :4
rocket range fairbanks alaska :4
rocket pioneer dr robert :4
rocket performed satis factorily :4
rocket launches are published :4
rocket from cape canaveral :4
rocket from andoeya norway :4
rocket engines for saturn :4
rocket engine test stands :4
rocket engine test site :4
rocket data sheets issued :4
rocket and space museum :4
rocket and instruments per :4
rocket and instrumenta tion :4
robert h goddard was :4
robert h curtin usaf :4
robert frosch nasa administrator :4
robert f freitag usn :4
robert a rushworth usaf :4
river utah to white :4
revolutions of the earth :4
review the results of :4
reusable solidfuel rocket boosters :4
return to earth by :4
return safely to earth :4
return of astronauts and :4
return him safely to :4
ret was sworn in :4
resulted in contracts with :4
responsible for the thordelta :4
responsible for spacecraft design :4
responsible for procurement launch :4
responsible for planning and :4
responsible for development of :4
responsibility of jploperated deep :4
responsibility for development of :4
resources and engineering development :4
research ship professor vize :4
research range carrying univ :4
research pilot school edwards :4
research pilot milton 0 :4
research laboratory cesium cloud :4
research grants and contracts :4
research center was testing :4
research center nasa announced :4
research center issued requests :4
research center in cambridge :4
research center had been :4
research center awarded a :4
research center at edwards :4
research and pro gram :4
research and opera tions :4
research and development spending :4
research and development is :4
research and development contract :4
research and development command :4
research and development center :4
research and development at :4
research and development agency :4
research and development administra :4
research and de velopment :4
research and advanced development :4
research aircraft flown by :4
rescue and return of :4
requests for proposals to :4
requested fcc permission to :4
republic of china signed :4
republic of china launched :4
reported that president carter :4
reported that a new :4
reported out of the :4
reported in washington evening :4
report was prepared by :4
report translations from tass :4
report to congress that :4
rep ken hechler dw :4
renstrom of the library :4
rendezvous and docking and :4
ren dezvous and docking :4
remote sensing of earth :4
remained in orbit until :4
remain in orbit for :4
release 7 3 4 :4
release 6 4 4 :4
relative to earth and :4
relationship between nasa and :4
region of the spectrum :4
references which appear in :4
references that appear in :4
references cited are not :4
reference stated or implied :4
refer ences cited are :4
reentry into earths atmosphere :4
reentry events occurred as :4
reentered the earths atmosphere :4
rector of manned space :4
recovered in good condition :4
recorded on magnetic tape :4
received nasaâ€™s distinguished service :4
received an honorary doctor :4
reason to believe that :4
reaches of the solar :4
reach the vicinity of :4
re search range carrying :4
rd funds to industry :4
rd 582 million for :4
ratified by us ussr :4
rasool deputy director of :4
range of more than :4
range fairbanks alaska carrying :4
range carrying a goddard :4
range and range rate :4
randolph lovelace 11 nasa :4
radioed back to earth :4
r walter cunningham and :4
r scott and russell :4
r a t i :4
quoted by new york :4
purpose of the mission :4
purpose of the experiment :4
purpose of meeting was :4
purpose of launch was :4
pur pose of the :4
publics see also soviet :4
public affairs john p :4
providing new information on :4
provided by univ of :4
provided by nasa goddard :4
provide basic scientific and :4
proved that man could :4
prove out design develop :4
propulsion and power generation :4
proposed by house and :4
proposals were due by :4
proposals for construction of :4
project was designed to :4
project mission scheduled for :4
project gemini manned space :4
proj off ∞ senate :4
proj off ∞ house :4
proj off nasa releases :4
proj off ap nyt :4
progress was made in :4
progress has been made :4
programs in nasaâ€™s office :4
programs in nasa office :4
program would consist of :4
program would be conducted :4
program would be a :4
program was designed to :4
program to monitor space :4
program to develop the :4
program to develop and :4
program plan for fiscal :4
program office at nasa :4
program of research and :4
program nasa hist off :4
program is not a :4
program included orbiting of :4
program had been the :4
program chief seismic investigator :4
prog off nasa release :4
profile of nitric oxide :4
professional air traffic controllers :4
prof leonid i sedov :4
processing applications rocket spar :4
processes in the atmosphere :4
proceed with development of :4
procedures to be used :4
probe launched may 30 :4
probably would not be :4
printing office washington dc :4
principal investigator for the :4
princeton univ physicist dr :4
prime contractor north american :4
prime con tractor for :4
primary purpose was to :4
primary objective would be :4
primary mission objectives were :4
primary mission objective of :4
primary and secondary objectives :4
pressure and wind profile :4
pressure and temperature and :4
pressure and density in :4
press conference a t :4
press briefing was held :4
presidium of the supreme :4
presidents of the united :4
presidentelect richard m nixon :4
president t a wilson :4
president of the american :4
president of the air :4
president of rockefeller univ :4
president of carnegie institution :4
president of cal tech :4
president of aerospace industries :4
president nixon telephoned apollo :4
president nixon had asked :4
president karl g harr :4
president joseph g gavin :4
president johnson sent to :4
president johnson announced he :4
president in charge of :4
president for engineering and :4
president and the congress :4
president and group executive :4
presence or absence of :4
prescribed times and recording :4
pres rpt 72 ∞ :4
prepared by mrs brocksmith :4
prepared by dr anderson :4
preparation for the july :4
preparation and publication of :4
preliminary flight rating test :4
preliminary design of a :4
practical returns from space :4
powered flight were to :4
powered flight of titan :4
powered flight after air :4
powered by nuclear energy :4
power from the sun :4
postmaster general winton m :4
post thomas oâ€™toole said :4
possible use in the :4
positions for us supersonic :4
polaris a 3 missile :4
polar orbit from pacific :4
polar cap absorption event :4
point of view of :4
point arguello calif ∞ :4
plum brook station ohio :4
play a key role :4
plans had called for :4
plans and program evaluation :4
planned orbit and provide :4
planned for use on :4
planned for use in :4
planned and sound arrivals :4
planetary laboratory of the :4
plane of the ecliptic :4
plan with only minor :4
plan no 4 of :4
plan for fiscal year :4
placed in geosynchronous orbit :4
place spacecraft into orbit :4
place in the universe :4
pitotstatic probe to measure :4
pitch roll and yaw :4
pioneer vi launched dec :4
pioneer 11 launched 5 :4
pio ∞ president nixon :4
pilots donald l mallick :4
piloted research vehicle rprv :4
piloted by thomas c :4
piloted by john b :4
piloted by john a :4
pilot school edwards afb :4
pilot performed maneuvers to :4
pilot maj michael j :4
pilot and edwin e :4
pictures of the earth :4
pictures of lunar surface :4
picture transmission apt camera :4
picked up by helicopter :4
physics laboratory of johns :4
physics and astronomy program :4
physicist dr ralph e :4
physicist dr edward teller :4
physical society meeting in :4
physical and chemical processes :4
photos would be stored :4
photos taken by apollo :4
photos of the moon :4
philco corp for negotiation :4
philadelphia evening bulletin editorial :4
petrov chairman of soviet :4
personnel necessary to mate :4
period of increased solar :4
period and 813â€™ inclination :4
period and 812â€ inclination :4
period and 811â€ inclination :4
period and 739 inclination :4
period and 710â€™ inclination :4
period and 518â€™ inclination :4
period and 518â€ inclination :4
period and 516â€™ inclination :4
period 898 min inclination :4
perigee 918min period and :4
perigee 895 min period :4
perigee 1148min period and :4
perigee 1145min period and :4
perigee 1144min period and :4
perigee 1138min period and :4
perigee 104min period and :4
perigee 1019min period and :4
perhaps even more important :4
perhaps as much as :4
performed satisfactorily but scientific :4
performance was satisfactory and :4
peaceful use of space :4
payloads where vehicle malfunctions :4
payloads that did not :4
payload was recovered as :4
payload to altitude of :4
pat of pio f :4
passed by the house :4
passed and sent to :4
passed and cleared for :4
partnership a history of :4
participating in the program :4
participate in the project :4
part of the nasa :4
part of the joint :4
part of the global :4
part of the air :4
part in the first :4
parking orbit reignited after :4
parachute landing systems for :4
parachute into the ocean :4
papers were presented on :4
paine nasa administrator told :4
paine nasa acting administrator :4
paine as nasa administrator :4
pad a by saturn :4
pacific and indian oceans :4
p o l b :4
p miller dcalif introduced :4
p miller chairman of :4
p for partially successful :4
p anderson chairman of :4
ozone data were acquired :4
over the world and :4
over the united states :4
over the soviet union :4
over the equator at :4
over south rogers lake :4
outstanding contribution to us :4
outer spaceâ€ was functioning :4
outer space in accordance :4
outer reaches of the :4
out to lunar distances :4
out of the space :4
out of every four :4
out design develop technology :4
our understanding of the :4
our efforts in space :4
other than the us :4
other reentry events occurred :4
other members of the :4
other federal agencies the :4
other end of the :4
orbits of the moon :4
orbiting the earth at :4
orbiting the earth and :4
orbiting space station and :4
orbiting solar observatory was :4
orbiting satellite carrying amateur :4
orbiting moon in csm :4
orbiting geophysical observatory ogo :4
orbiter program was managed :4
orbiter and a lander :4
orbital test satellite ots :4
orbital parameters were cosmos :4
orbital flight of the :4
orbital bombardment system fobs :4
orbit with the following :4
orbit with 323km 2007mi :4
orbit with 308km 1914mi :4
orbit weapons of mass :4
orbit the earth in :4
orbit over the indian :4
orbit of the sun :4
orbit of the earth :4
orbit from which it :4
orbit from pacific missile :4
orbit from cape kennedy :4
orbit from cape canaveral :4
orbit at an altitude :4
orbit at about 35 :4
orbit at 22300mi altitude :4
or that payloads with :4
or of value to :4
or implied in the :4
or grant and considered :4
or a combination of :4
options for up to :4
operations and tracking and :4
operational satellite tos system :4
operational environmental satellite goes :4
operate because of vehicle :4
opening of a new :4
open sources by dr :4
only those that are :4
only references that appear :4
only one percent of :4
only one of the :4
only one of its :4
oneyear costplusawardfee contract for :4
one theory was that :4
one solar rotation and :4
one part of the :4
one or more of :4
one of the original :4
one of the main :4
one of the foremost :4
one of the five :4
one of its two :4
onboard systems and equipment :4
on wind temperature pressure :4
on wind directions and :4
on unmanned exploration of :4
on titan iiibagena booster :4
on the way to :4
on the verge of :4
on the upper atmosphere :4
on the surfaces of :4
on the supersonic transport :4
on the subject of :4
on the status of :4
on the possibility of :4
on the moon with :4
on the moon we :4
on the moon the :4
on the moon has :4
on the moon feb :4
on the moon but :4
on the moon at :4
on the human body :4
on the house floor :4
on the high energy :4
on the first flight :4
on the first anniversary :4
on the far side :4
on the fact that :4
on the exploration of :4
on the design and :4
on the brink of :4
on the bottom of :4
on the board of :4
on space law treaty :4
on space 1963 12764 :4
on saturn ib launch :4
on saturn ib and :4
on return to earth :4
on resignation of dr :4
on research and development :4
on oct 4 1957 :4
on night side of :4
on moonâ€™s fra mauro :4
on moon would be :4
on moon on board :4
on marine resources and :4
on lunar surface was :4
on launch pad at :4
on first anniversary of :4
on exploration and peaceful :4
on eve of launch :4
on eve of apollo :4
on european participation in :4
on earth as well :4
on dec 31 1968 :4
on charged particles responsible :4
on celestial xray sources :4
on both sides of :4
on appropriations favorably reported :4
on apollo 16 mission :4
on apollo 15 mission :4
on apollo 12 and :4
on air traffic control :4
on a scout vehicle :4
on a broad front :4
oliver a schaeffer of :4
ogo program was managed :4
officially adjudged a success :4
office washington dc 20402 :4
office of safety and :4
office of international programs :4
office of energy programs :4
office of applications and :4
off ∞ president johnson :4
off pio jones nyt :4
of x15 rocket research :4
of x15 no 3 :4
of what we have :4
of what we are :4
of what appeared to :4
of weights and measures :4
of weightlessness on the :4
of vostok 111 and :4
of venus and mars :4
of van allen belts :4
of value to nasa :4
of usaf cambridge research :4
of us in the :4
of us and ussr :4
of uprated saturn i :4
of up to 30 :4
of up to 100 :4
of univ of chicago :4
of unidentified flying objects :4
of understanding for a :4
of ukâ€™s jodrell bank :4
of u s space :4
of transportation james m :4
of transportation claude s :4
of transportation alan s :4
of trails from five :4
of this year and :4
of this volume would :4
of this volume was :4
of the year and :4
of the worldâ€™s leading :4
of the worlds largest :4
of the world in :4
of the wing and :4
of the washington post :4
of the vehicle assembly :4
of the ussr academy :4
of the united statesâ€ :4
of the united kingdom :4
of the union message :4
of the titan 11 :4
of the test was :4
of the surface and :4
of the sun the :4
of the stars in :4
of the spacelab program :4
of the spacecraft in :4
of the space task :4
of the space pro :4
of the space effort :4
of the space agency :4
of the size of :4
of the shuttle program :4
of the senate aeronautical :4
of the scientific and :4
of the satellite and :4
of the references cited :4
of the refer ences :4
of the project was :4
of the program was :4
of the presidentâ€™s science :4
of the past decade :4
of the orbiter and :4
of the nimbus 4 :4
of the nationâ€™s space :4
of the national oceanic :4
of the national medal :4
of the national bureau :4
of the national aero :4
of the nasa space :4
of the moon taken :4
of the moon or :4
of the martian surface :4
of the marshall space :4
of the mariner jupitersaturn :4
of the lunar orbiter :4
of the lunar excursion :4
of the launch vehicles :4
of the launch site :4
of the lack of :4
of the kennedy space :4
of the joint chiefs :4
of the international scientific :4
of the international council :4
of the international astronomical :4
of the interior stewart :4
of the human body :4
of the global system :4
of the gemini iv :4
of the fiscal year :4
of the first us :4
of the first successful :4
of the first space :4
of the first saturn :4
of the first decade :4
of the federal rd :4
of the federal council :4
of the feasibility of :4
of the experiments were :4
of the experimenters concerned :4
of the entire space :4
of the engine and :4
of the energy research :4
of the electromagnetic spectrum :4
of the docking module :4
of the defense communications :4
of the deep space :4
of the contract was :4
of the civil aeronautics :4
of the central intelligence :4
of the cartwheel configuration :4
of the bureau of :4
of the birth of :4
of the atomic bomb :4
of the apollo pro :4
of the apollo 204 :4
of the american space :4
of the american inst :4
of the american chemical :4
of the american astronautical :4
of the aerospace industries :4
of the academy of :4
of the 100 most :4
of sufficient accuracy to :4
of state for public :4
of staff for research :4
of spacecraft systems and :4
of spacecraft and rockets :4
of space technology for :4
of space shuttle main :4
of space science oss :4
of space pro gram :4
of space law and :4
of space exploration with :4
of space environment on :4
of space and the :4
of space and terrestrial :4
of space 19151960 compiled :4
of soviet space program :4
of soviet space activity :4
of soviet scientists and :4
of soviet delegation to :4
of solar energy to :4
of solar cells to :4
of solar and galactic :4
of seven spacecraft designed :4
of scientists and engi :4
of scientific data and :4
of scientific and industrial :4
of scientific and engineering :4
of sciencesnational research council :4
of sciences president dr :4
of sciences institute of :4
of sciences had agreed :4
of science and technol :4
of saturn v launch :4
of saturn v 2nd :4
of saturn v 1st :4
of rocket tests in :4
of rocket technology detroit :4
of remote sensing to :4
of referencesâ€ was prepared :4
of program was to :4
of preliminary data security :4
of posts and telecommunications :4
of planetary programs in :4
of planet venus at :4
of physics at univ :4
of orbiting space station :4
of office of science :4
of ocean of storms :4
of nuclear weapons and :4
of new york times :4
of new york state :4
of new types of :4
of new technology for :4
of new and refurbished :4
of neutral and ionized :4
of national science board :4
of nasaâ€™s lunar orbiter :4
of nasas office of :4
of nasa historical advisory :4
of nasa flight research :4
of nasa equal employment :4
of nasa astronauts to :4
of nasa and contractor :4
of n a s :4
of much of the :4
of more than a :4
of more than 300 :4
of more than 10 :4
of moonâ€™s gravitational field :4
of moon and planets :4
of mit school of :4
of mission and payload :4
of millions of years :4
of michoud assembly facility :4
of meeting was to :4
of mass destruction in :4
of mars and venus :4
of manned lunar landing :4
of man in the :4
of lockheed missiles space :4
of light in the :4
of life sciences for :4
of lack of funds :4
of jupiter and saturn :4
of jan 27 flash :4
of international telecommunications satellite :4
of instruments to measure :4
of increased solar activity :4
of importance as a :4
of immigrant scientists and :4
of illinois payload to :4
of houston experiment to :4
of house commit tee :4
of history and technology :4
of high energy physics :4
of government and industry :4
of goddard institute for :4
of geophysics and planetary :4
of funds between the :4
of four corners calif :4
of flight research center :4
of first us satellite :4
of federal research and :4
of federal rd funding :4
of federal council for :4
of explosion was not :4
of engineers awarded the :4
of electrons with energies :4
of electronics research center :4
of einsteinâ€™s general theory :4
of earthâ€™s upper atmosphere :4
of earth resources survey :4
of dr thomas 0 :4
of dr glenn t :4
of doing business in :4
of density pressure and :4
of defense national oceanic :4
of defense nasa essa :4
of defense nasa and :4
of defense clark m :4
of defense and of :4
of cosmic rays and :4
of cosmic ray particles :4
of cooperation in space :4
of congress under an :4
of colorado payload to :4
of charged particles in :4
of changes in the :4
of carnegie institution of :4
of california institute of :4
of california berkeley experiments :4
of cali fornia at :4
of british interplanetary society :4
of bell telephone laboratories :4
of arthur d little :4
of arizonaâ€™s lunar and :4
of approach and landing :4
of apollo spacecraft program :4
of apollo command and :4
of apollo 8 astronaut :4
of apollo 17 lunar :4
of apollo 15 lunar :4
of apollo 14 mission :4
of apollo 1 1 :4
of anglofrench supersonic transport :4
of an agreement with :4
of all elements of :4
of alaska experiment to :4
of air and space :4
of aerospace medicine brooks :4
of aerospace industries assn :4
of advanced research projects :4
of advanced manned missions :4
of abbreviations and acronyms :4
of a system to :4
of a new type :4
of a new manned :4
of a memorandum of :4
of a man on :4
of 20 shuttle astronaut :4
of 1962 published by :4
october marshall space flight :4
oceanic and atmospheric ad :4
ocean of storms and :4
obtained by photographing continuously :4
obtain lateral directional derivatives :4
obtain data on wind :4
obtain data on variation :4
obtain data on charged :4
observatory solar physics experiment :4
objectives were to expand :4
objectives were to evaluate :4
objectives were to check :4
objectives of powered flight :4
objective was to study :4
objective of the flight :4
objec tives were to :4
objec tive was to :4
number of nasa astronauts :4
nuclei and heavier nuclei :4
nuclear rocket would be :4
nuclear radiation detection satellites :4
nuclear and space industries :4
nr rocketdyne div for :4
november the ussr launched :4
november 9 astronautics and :4
november 7 1962 nasa :4
nov 9 1967 and :4
notes information less broad :4
not take into account :4
not operate because of :4
not only in the :4
not expected to be :4
not expected to affect :4
not appear to be :4
not all the sources :4
nose cone failed to :4
north of four corners :4
north atlantic treaty or :4
north american aviationâ€™s downey :4
noise and sonic boom :4
no useful data were :4
no recovery operation was :4
no official statement since :4
no more than a :4
no 4 of 1970 :4
no 3 flown to :4
no 2 flown by :4
no 1 flown to :4
nixon submitted to congress :4
nixon announced appointment of :4
nixon accepted resignation of :4
nimbus e and f :4
nimbus 4 satellite launched :4
niketomahawk sounding rockets launched :4
nikecajun sounding rockets were :4
nikecajun sounding rockets launched :4
nikeapache sounding rockets with :4
nikeapache launched from wallops :4
new york to london :4
new york times reporter :4
new york stock exchange :4
new york city to :4
new speed record for :4
new post of assistant :4
new position of assistant :4
new obligational authority of :4
new obligational authority noa :4
new knowledge of the :4
nevertheless of importance as :4
neutral and ionized barium :4
neil a armstrong received :4
neil a armstrong had :4
neil a armstrong commander :4
necessary to mate spacecraft :4
nearearth space the moon :4
near the end of :4
navy paul h nitze :4
navy john w warner :4
naval school of aviation :4
naval research laboratory the :4
naval research laboratory experiment :4
naval research laboratory cesium :4
naval research laboratory announced :4
naval ordnance test station :4
nautics a preliminary bibliography :4
naut john h glenn :4
nations conference on the :4
national space pro gram :4
national security industrial assn :4
national scientific balloon facility :4
national operational meteorological satellite :4
national center for atmos :4
national archives and records :4
national aeronautic association reported :4
national aeronau tics and :4
national academy of sciencesnational :4
national academy of sci :4
nation and the world :4
nasc executive secretary william :4
nasaâ€™s scientific and technical :4
nasaâ€™s pioneer vi interplanetary :4
nasaâ€™s office of aeronautics :4
nasaâ€™s michoud assembly facility :4
nasaâ€™s manned spacecraft center :4
nasaâ€™s lunar orbiter i :4
nasaâ€™s high energy astronomy :4
nasas office of space :4
nasas manned space flight :4
nasas flight research center :4
nasa would provide four :4
nasa was working with :4
nasa was negotiating with :4
nasa wallops station with :4
nasa wallops station the :4
nasa wallops station by :4
nasa wallops station and :4
nasa test pilot bruce :4
nasa supercritical wing flown :4
nasa successfully launched two :4
nasa successfully launched explorer :4
nasa space radiation effects :4
nasa space program advisory :4
nasa sp4003 1965 ntis :4
nasa rpts srl march :4
nasa rpt srl nasa :4
nasa rpt srl february :4
nasa research pilot milton :4
nasa research and technology :4
nasa reported that the :4
nasa release 7 2 :4
nasa proj off ∞nasa :4
nasa prog off ∞the :4
nasa portion of the :4
nasa or under â€œnasa :4
nasa note to editors :4
nasa niketomahawk sounding rockets :4
nasa new obligational authority :4
nasa mississippi test operations :4
nasa medal for outstanding :4
nasa may 30 1971 :4
nasa manned spacecraft centerâ€™s :4
nasa launched nikecajun sounding :4
nasa july 23 1972 :4
nasa javelin sounding rocket :4
nasa history office has :4
nasa held a skylab :4
nasa head quarters and :4
nasa had selected the :4
nasa had designed the :4
nasa had agreed to :4
nasa group achievement award :4
nasa gen mgt rev :4
nasa fy 1974 authorization :4
nasa fy 1973 authorization :4
nasa from wtr by :4
nasa from wallops sta :4
nasa from wal lops :4
nasa from natal brazil :4
nasa for launch services :4
nasa expenditures were budgeted :4
nasa exceptional service award :4
nasa essa and other :4
nasa equal employment opportunity :4
nasa ep29 1965 and :4
nasa director of procurement :4
nasa deputy administrator told :4
nasa dept of interior :4
nasa authorization for fy :4
nasa authorization act for :4
nasa associate deputy administrator :4
nasa associate admin istrator :4
nasa assistant general counsel :4
nasa as part of :4
nasa as a consultant :4
nasa apollo status summary :4
nasa announced decision to :4
nasa announced completion of :4
nasa announced availability of :4
nasa ann nasa release :4
nasa and the navy :4
nasa and the european :4
nasa and the army :4
nasa and dod would :4
nasa aerobee 150 mi :4
nasa administra tor james :4
nasa acting administrator dr :4
named deputy associate administrator :4
name â€œcape canaveralâ€ to :4
najeeb e halaby said :4
na tional academy of :4
n d aeronautics 1970 :4
n d aeronautical events :4
n administrative history of :4
museum of the smithsonian :4
museum of science and :4
murray of cal tech :4
multiple independently targetable reentry :4
msfc would manage the :4
msfc release 7 4 :4
msfc director dr william :4
msfc announced it would :4
msfc announced completion of :4
msfc announced appointment of :4
mrs lyndon b johnson :4
mounted on top of :4
moss dutah chairman of :4
moscow at the age :4
more than two years :4
more than twice the :4
more than one solar :4
