total weight :2627
nasa committee :4
nasa authori :4
nasa attempted :4
nasa atlascentaur :4
nasa assigned :4
nasa archives :4
nasa anticipated :4
nasa aeronautical :4
nasa advanced :4
nas released :4
nas published :4
nas pio :4
nas council :4
nantucket island :4
nancy l :4
named recipient :4
named project :4
named nasa :4
named flight :4
name change :4
name cape :4
nae president :4
naa test :4
n v :4
n ui :4
n maj :4
n gurovsky :4
n gardner :4
n c5 :4
mylar balloon :4
myers nasa :4
mutual understanding :4
mutch memorial :4
museum director :4
multispectral photography :4
multispectral camera :4
multirole combat :4
multipurpose electric :4
multiple warheads :4
multiple satellite :4
multiple access :4
msfcs technology :4
msfcs michoud :4
msfc personnel :4
msfc officials :4
msfc nasa :4
msfc facilities :4
msc planetary :4
msc houston :4
msc florida :4
msc flight :4
msc employees :4
msc apollo :4
ms degree :4
mph nasa :4
moving ahead :4
movie cameras :4
movie camera :4
moved across :4
mounted atop :4
mounted above :4
motor segments :4
motor placed :4
motor failed :4
motor cases :4
moscows sheremetyevo :4
moscows red :4
moscow parade :4
moscow institute :4
moscow announced :4
morton thiokols :4
morse code :4
moons magnetic :4
moons equator :4
moons descartes :4
moons center :4
moonlanding mission :4
mooney nyt :4
moon venture :4
moon trips :4
moon trip :4
moon tass :4
moon passed :4
moon mars :4
moon luna :4
moon june :4
moon io :4
moon flights :4
moon exploration :4
moon dec :4
moon according :4
moon aboard :4
moon 146148 :4
month nasa :4
monodisperse latex :4
monitoring stations :4
monitoring device :4
monitor micrometeoroids :4
monitor astronauts :4
momentum wheels :4
molten rock :4
molniya ii :4
molniya comsats :4
molniya communications :4
molniya 120 :4
molecules spectroscopy :4
molecular biology :4
moisture content :4
moines iowa :4
module service :4
module separated :4
module lunar :4
module cylindrical :4
module boilerplate :4
module am :4
modified gemini :4
modified centaur :4
modifications necessary :4
modern aircraft :4
model spacecraft :4
model research :4
model lrv :4
mode s :4
mobility research :4
mobile terminals :4
mo ago :4
ml engine :4
mits instrumentation :4
mits dr :4
mitchell lm :4
mitchell ind :4
mit payload :4
mit instrumentation :4
mississippi river :4
missions successful :4
missions requiring :4
missions office :4
missions carried :4
missions board :4
missions aboard :4
mission vehicle :4
mission tass :4
mission successful :4
mission smm :4
mission simulation :4
mission scientists :4
mission review :4
mission peculiar :4
mission objective—to :4
mission msfc :4
mission module :4
mission extended :4
mission definition :4
mission achieved :4
mission accomplished :4
mission 51—l :4
mission 51l :4
mission 51g :4
mission 51b :4
missiles launched :4
missiles industry :4
missiles fired :4
missilefiring submarine :4
missile threat :4
missile submarines :4
missile strength :4
missile silos :4
missile programs :4
missile icbm :4
missile gap :4
missile forces :4
missile flew :4
miss distance :4
miroslaw hermaszewski :4
minutes tion :4
minuteman missiles :4
minority leader :4
minor planet :4
minor construction :4
minor anomalies :4
minister sir :4
minister indira :4
minister hayato :4
minister eisaku :4
minimum level :4
minimum distance :4
minimum cost :4
min outside :4
min late :4
min incli :4
min flying :4
min earlier :4
min crew :4
min 53 :4
min 38 :4
min 35 :4
min 12 :4
millstone hill :4
mills link :4
mills b :4
millions item :4
million yen :4
million yearly :4
million subcontract :4
million square :4
million reduction :4
million readings :4
million passenger :4
million operations :4
million lunar :4
million investment :4
million higher :4
million gal :4
million facility :4
million costplusincentivefee :4
million copper :4
million compared :4
milky ways :4
military sources :4
military role :4
military rockets :4
military review :4
military manned :4
military honors :4
military departments :4
military crew :4
military construction :4
military assistance :4
mili tary :4
miles offshore :4
mike mccormack :4
mike gravel :4
middle atmosphere :4
midair collision :4
microwave techniques :4
microwave sensors :4
microwave relay :4
microwave communications :4
microphone array :4
micrometeoroid impact :4
microgravity materials :4
michoud facility :4
michigan pitotstatic :4
michael g :4
mi nonstop :4
mi cosmos :4
mi 3595 :4
mgr interview :4
mexican president :4
metropolitan areas :4
meteorological systems :4
meteorological service :4
meteorological center :4
meteoroid impacts :4
meteoroid hits :4
meteoritic debris :4
meteor streams :4
metallic hydrogen :4
metallic core :4
metal workers :4
metal structures :4
met nasa :4
message transmitting :4
mesa containing :4
mervin ault :4
meritorious service :4
mercurys orbit :4
mercury team :4
mercury operations :4
mercury mercury :4
mercury manned :4
mercury escape :4
mercuric iodide :4
merchant marine :4
mented delta :4
menlo park :4
memorial station :4
memorial medal :4
memorial fellowship :4
member governments :4
member country :4
melvin price :4
meeting scheduled :4
meet future :4
meek island :4
medium stol :4
mediterranean sea :4
medicobiological problems :4
medicine nasa :4
medicine brooks :4
medical teams :4
medical studies :4
medical director :4
media coverage :4
medal nasas :4
medal highest :4
mechanically mated :4
mechanical failure :4
measuring devices :4
measuring device :4
measurements obtained :4
measurements nasa :4
measurements experiment :4
measurement experiment :4
measured solar :4
measured atmospheric :4
measure upper :4
measure temperature :4
measure simultaneously :4
measure heat :4
measure distribution :4
measure charged :4
mcgovern ds :4
mcgehan b :4
mayor wagner :4
may22 june :4
maximum payload :4
maximum flexibility :4
maximum diameter :4
maverick missile :4
mathematical model :4
materiel command :4
materials research :4
materials experiments :4
material samples :4
material erosion :4
material ejected :4
material collected :4
massive black :4
mass concentrations :4
maryland payload :4
marvin l :4
martin schwarzchild :4
martin cos :4
martian history :4
marshall islands :4
marshal sergei :4
marshal nikolai :4
marshal mitrofan :4
mars trajectory :4
mars jupiter :4
mars gravity :4
mars flight :4
mars expedition :4
mars dr :4
mars appeared :4
mars 1969 :4
marquardt corp :4
maritime comsats :4
mariner iii :4
mariner flights :4
marietta ga :4
margaret c :4
marecs b2 :4
mare serenitatis :4
mare material :4
mare crisium :4
marder wash :4
marconi co :4
marco platform :4
marco ii :4
march 313 :4
mar cosmos :4
mar 78 :4
mar 777 :4
mar 2877 :4
mar 26 :4
mar 1477 :4
mar 1183 :4
mapping research :4
map service :4
manufacturing process :4
manufacturing industry :4
manufacturing engineering :4
manufacturer mcdonnell :4
mans role :4
mans future :4
mans activities :4
manpower requirements :4
manned solar :4
manned programs :4
manned operation :4
manned mercury :4
manned lifting :4
manned earthorbiting :4
manned capsule :4
manmade satellites :4
manipulate lunar :4
maneuvering vehicle :4
maneuvering rockets :4
maneuvering engine :4
manchester england :4
managing nasa :4
managing director :4
manager kenneth :4
management structure :4
management practices :4
management policies :4
management information :4
management corp :4
management capability :4
management assn :4
malfunctioning computer :4
making space :4
making significant :4
making recommendations :4
making major :4
major technological :4
major tasks :4
major subcontractor :4
major storm :4
major source :4
major share :4
major responsibility :4
major medical :4
major issues :4
major goals :4
major features :4
major facilities :4
major event :4
major effect :4
major difference :4
major cost :4
major component :4
major companies :4
major commitment :4
major challenge :4
major american :4
major achievement :4
maj gherman :4
maj frank :4
maj edwin :4
maintenance modification :4
maintenance costs :4
maintain technological :4
maintain satellite :4
maintain attitude :4
mainengine test :4
main objective :4
main islands :4
maimed space :4
mail service :4
mail delivery :4
magnetometer data :4
magnetometer boom :4
magneticfield lines :4
magnetic resonance :4
magnetic forces :4
magnetic force :4
mae mills :4
madalyn murray :4
macy jr :4
mackenzie wash :4
mach numbers :4
mach 532 :4
mach 27 :4
mach 16 :4
mach 13 :4
mach 105 :4
m usaf :4
m singleton :4
m schurmeier :4
m schirras :4
m mark :4
m magruder :4
m ed :4
m bain :4
m 73 :4
m 70 :4
m 65 :4
m 42 :4
m 400 :4
m 30 :4
m 18 :4
m 17 :4
m 16 :4
m 15 :4
m 13 :4
lyndon johnson :4
luther h :4
lunarmission duration :4
lunar stations :4
lunar sounder :4
lunar scientist :4
lunar return :4
lunar regolith :4
lunar pictures :4
lunar orbiting :4
lunar mapping :4
lunar laser :4
lunar international :4
lunar history :4
lunar explorer :4
lunar expeditions :4
lunar distance :4
lunar communications :4
lunar capture :4
lunar approach :4
luna xs :4
luna spacecraft :4
luna 23 :4
luis de :4
lubos kohoutek :4
lubbock tex :4
lt valentina :4
lrl scientists :4
lrc nasa :4
lrc director :4
lowfrequency electromagnetic :4
lower thermosphere :4
lower priority :4
lower pressure :4
lower portion :4
lower altitude :4
lowcost modular :4
lowaltitude supersonic :4
low noise :4
low angles :4
low angle :4
louis pd :4
louis e :4
louis c :4
lost control :4
lost city :4
los amigos :4
loren shriver :4
loren acton :4
loose solder :4
looney john :4
looking beyond :4
look beyond :4
longterm trend :4
longrange aircraft :4
longer term :4
longer missions :4
longer flights :4
longduration spaceflight :4
longduration flight :4
london sunday :4
london observer :4
lomask vanguard—a :4
loi burn :4
logistics management :4
lodewijk van :4
lockheed l1011 :4
lock heed :4
local service :4
local equatorcrossing :4
loan basis :4
loading conditions :4
lm powered :4
lm lifted :4
lm lifeboat :4
lm ladder :4
lm flight :4
lm docked :4
living space :4
live via :4
live transmission :4
live telecast :4
little john :4
little difference :4
little chance :4
lithium hydroxide :4
list february :4
lisbon portugal :4
liquidpropellant rocket :4
liquid propulsion :4
link div :4
limiting factor :4
limited test :4
limitation agreement :4
limit strategic :4
lightweight version :4
lightning struck :4
lighter weight :4
lifttodrag data :4
lifting reentry :4
liftdrag ratio :4
lifescience experiments :4
lie du :4
liberty bell :4
liaison officer :4
lg frank :4
lewis wash :4
lewis d :4
levine wsj :4
levine arnold :4
lev s :4
leslie r :4
les v :4
lercs plum :4
lerc researchers :4
lerc pio :4
lerc engineers :4
leonard f :4
leonard d :4
leo deorsey :4
lenoirs suit :4
legally binding :4
left lm :4
left behind :4
lefevre belgian :4
lee ray :4
lee houston :4
lee director :4
leave government :4
lear jet :4
leading soviet :4
leading role :4
leading candidate :4
lc usaf :4
lc donald :4
lbs lm :4
lawton m :4
launor f :4
launchings january :4
launching vehicle :4
launching tracking :4
launching sites :4
launches planned :4
launches including :4
launches appears :4
launched west :4
launched spacecraft :4
launched nikecajun :4
launched nasas :4
launched mar :4
launched essa :4
launched apr :4
launched 28 :4
launched 24 :4
launched 14 :4
launch using :4
launch upi :4
launch seven :4
launch service :4
launch readiness :4
launch opportunities :4
launch oct :4
launch five :4
launch december :4
launch azimuth :4
launch aug :4
latter half :4
latitudes near :4
latitudes crossing :4
latex reactor :4
latest soviet :4
late spring :4
late november :4
late april :4
late 1980 :4
laseraugmented target :4
laser weapons :4
laser geodynamics :4
laser geodynamic :4
laser energy :4
laser doppler :4
larry winn :4
largest satellite :4
largest payload :4
largest contract :4
largest commercial :4
largest amount :4
larger space :4
larger chutes :4
largearea crop :4
larc researcher :4
larc engineers :4
lani bird :4
landsat satellites :4
landsat remotesensing :4
landmark sightings :4
landing spacecraft :4
landing rockets :4
landing radar :4
landing probe :4
landing operations :4
landing nasa :4
landing maneuvers :4
landing effort :4
landing capabilities :4
landing areas :4
landing apollo :4
lander scheduled :4
landed successfully :4
landed april :4
land uses :4
land remotesensing :4
lambert field :4
lake victoria :4
laboratorys jpl :4
laboratory successfully :4
laboratory study :4
laboratory module :4
laboratory measurement :4
laboratory inc :4
laboratory facilities :4
laboratory equipment :4
laboratory dr :4
laboratory cesium :4
laboratories received :4
laboratories launched :4
laboratories bay :4
labor unions :4
labor dispute :4
la recherche :4
l udall :4
l richardson :4
l liquid :4
l lind :4
l lesher :4
l kavanau :4
l hansen :4
l bennett :4
kyushu island :4
kuiper observatory :4
kscs vehicle :4
ksc spokesman :4
ksc space :4
ksc s :4
ksc runway :4
ksc releases :4
ksc press :4
ksc personnel :4
ksc nasa :4
ksc awarded :4
kong afp :4
komarov diploma :4
knoxville newssentinel :4
known source :4
knowledge acquired :4
knight rocket :4
km northwest :4
km launch :4
km june :4
km downrange :4
km deep :4
km 75 :4
km 62 :4
km 47 :4
km 340 :4
km 24 :4
km 23 :4
km 2000 :4
km 180 :4
km 130 :4
km 126 :4
km 124 :4
klein manager :4
kizim vladimir :4
kiwi project :4
kiwi b4a :4
kinetic energy :4
kilometers minutes :4
kill devil :4
kg empty :4
kg 500 :4
kg 20 :4
keynote speaker :4
key milestones :4
key factor :4
key elements :4
kerosene fuel :4
kenneth r :4
kenneth b :4
kennedy airport :4
kennedy administration :4
kelley director :4
keeping pace :4
kazakhstan ussr :4
kauai hawaii :4
kathryn sullivan :4
kashima japan :4
karman lecture :4
k ride :4
k javits :4
k holloway :4
k h :4
k destination :4
j—2 engines :4
justice department :4
jupitersaturn project :4
jupitersaturn mission :4
jupiters moons :4
jupiters moon :4
jupiters gravity :4
jupiter mission :4
jupiter flyby :4
junior chamber :4
june 678 :4
june 2077 :4
june 1986 :4
june 1483 :4
july cosmos :4
july 618 :4
july 28—sept :4
july 28september :4
july 2684 :4
july 1986 :4
july 1977 :4
july 1962 :4
july 1821 :4
julian amery :4
jules verne :4
jul 18 :4
judith resnik :4
judge david :4
jt8d engines :4
jsc releases :4
jsc flight :4
jsc engineers :4
jsc employees :4
jsc deputy :4
jr thomas :4
jr presidential :4
jr presented :4
jr fred :4
jr donn :4
jr civilian :4
jr chariots :4
jr capt :4
jr associate :4
jploperated deep :4
jplhr2 1971 :4
jpl researchers :4
jpl project :4
jpl deep :4
journals 19571977 :4
joseph shea :4
joseph b :4
jones usaf :4
joint weather :4
joint useuropean :4
joint usafnasa :4
joint studies :4
joint sponsorship :4
joint sovietfrench :4
joint propulsion :4
joint nasaaec :4
joint italianus :4
joint housesenate :4
joint flights :4
joint endeavor :4
joint crew :4
joint americansoviet :4
joint agreement :4
joined together :4
joined forces :4
johnsons proposal :4
johnsons decision :4
johnson vice :4
johnson submitted :4
johnson stated :4
johnsen av :4
john stennis :4
john o :4
john creighton :4
johannesburg tracking :4
jocelyn r :4
jettisoned lm :4
jetassisted takeoff :4
jet thrusters :4
jet streams :4
jet stol :4
jet noise :4
jet liner :4
jet exhaust :4
jet airplane :4
javits rny :4
japanese ministry :4
japanese astronomers :4
january january :4
january flight :4
january 1982 :4
january 1977 :4
january 1976 :4
january 1973 :4
janson nyt :4
janfeb 78 :4
jan cosmos :4
jan 78 :4
jan 31—feb :4
jan 278 :4
jan 2385 :4
jan 1958 :4
jan 1178 :4
jacques blamont :4
jacob k :4
jackson aerospace :4
jack n :4
jack lousma :4
j2 rocket :4
j2 liquidhydrogen :4
j stofan :4
j robert :4
j o :4
j l :4
j ii :4
j fink :4
j ed :4
j defrance :4
ixa mission :4
ix x :4
iven c :4
iva f4 :4
iv sounding :4
iv flight :4
iv f6 :4
iv computer :4
itt gilfillan :4
items require :4
items included :4
item budget :4
italy japan :4
italian satellite :4
italian launch :4
italian astronomer :4
italian air :4
issues involved :4
issued temporary :4
issued scientific :4
issued proclamation :4
isolation garments :4
island using :4
isaac t :4
isaac newton :4
iras launched :4
iranian poets :4
iqsy 196465 :4
iowa univ :4
ionospheric sounding :4
ionospheric satellite :4
ionospheric laboratory :4
ionospheric electric :4
ionospheric data :4
ionosphere satellite :4
ionosphere including :4
ionosphere explorer :4
ionizing radiation :4
ionized gases :4
ionized gas :4
ion trap :4
ion concentrations :4
ion concentration :4
iodide crystal :4
investigations committee :4
investigation satellite :4
investigating team :4
investigate upper :4
investigate mans :4
investigate ionization :4
investigate interstellar :4
investigate interplanetary :4
investigate earths :4
introduced sjr :4
introduced hjr :4
intraocular pressure :4
interview dr :4
interview 24 :4
interview 21 :4
interview 17 :4
interpretive techniques :4
interplanetary trips :4
interplanetary trajectories :4
interplanetary societys :4
interplanetary radiation :4
interplanetary orbit :4
interplanetary flight :4
international waters :4
international rendezvous :4
international radio :4
international radiation :4
international problems :4
international networks :4
international meeting :4
international market :4
international indian :4
international groups :4
international decade :4
international coordinating :4
international conferences :4
international aerospace :4
internal pressures :4
internal pressure :4
interna tional :4
intermediate range :4
interior stewart :4
interior space :4
interior depts :4
interim space :4
interim contract :4
interim communications :4
intergalactic space :4
interested citizens :4
interdepartmental committee :4
intercontinental missile :4
interceptor satellite :4
interavia 1169 :4
interagency coordination :4
intentionally crashed :4
intentionally blank :4
intensive care :4
intelsativa f—l :4
intelsativ f4 :4
intelsatii f—3 :4
intelsat releases :4
intelsat iib :4
intelsat board :4
intelligent extraterrestrial :4
intellectual discipline :4
integrated utility :4
integrated medical :4
integrated electronic :4
integrated circuit :4
insurance underwriters :4
insurance policy :4
insurance market :4
insular affairs :4
instruments onboard :4
instruments included :4
instrumented monkey :4
instrumented capsules :4
instrumentation systems :4
instrumentation support :4
instrumentation ships :4
instrumentation delivery :4
instrument designed :4
instructional tv :4
institute announced :4
insertion velocity :4
insertion maneuver :4
inorbit evaluation :4
inner solar :4
inner cylinder :4
injection maneuver :4
initial test :4
initial step :4
initial production :4
initial parameters :4
initial orbits :4
initial manned :4
initial investment :4
initial exploration :4
initial design :4
initial data :4
ington dc :4
ing payload :4
infrared observatory :4
infrared observations :4
infrared observation :4
infrared measurements :4
infrared data :4
infrared characteristics :4
information transmitted :4
information technology :4
information retrieval :4
information relayed :4
information policy :4
information beyond :4
informal agreement :4
infor mation :4
inflight performance :4
inflated properly :4
inertial reference :4
inert solidfuel :4
inert gases :4
inert gas :4
inert flight :4
industry management :4
industry government :4
industrial processes :4
industrial activity :4
indirect costs :4
indira gandhi :4
indicated moon :4
indicated failure :4
indian experiment :4
india italy :4
independent research :4
increasingly dependent :4
increasing importance :4
increasing costs :4
increased knowledge :4
increased international :4
increased confidence :4
increase space :4
increase reflected :4
increase rate :4
increase fuel :4
increase costs :4
incoming data :4
income tax :4
including total :4
including restart :4
including reentry :4
including mission :4
including information :4
including funds :4
including earth :4
including dr :4
including data :4
including 310 :4
including 1444lb :4
includes reentry :4
included testing :4
included live :4
included infrared :4
included apollo :4
included 16 :4
include final :4
inclination 81° :4
inclination 649° :4
inclination 518° :4
incentivefee contract :4
inc space :4
inc received :4
inadvertent modification :4
improvements included :4
improved versions :4
improved thrustaugmented :4
improved thrust :4
improved performance :4
improved methods :4
improved management :4
improved flight :4
improved centaur :4
improved capability :4
improve spacecraft :4
improve space :4
improve remotesensing :4
improve knowledge :4
impact velocity :4
impact trajectory :4
impact crater :4
immense scientific :4
images received :4
im pacted :4
iii—c booster :4
iiibagena total :4
iii ussr :4
iii sounding :4
iii satellites :4
iii orbiting :4
iii missile :4
iii experiment :4
ii usn :4
ii s :4
ii maj :4
ii jet :4
ii comsat :4
identify areas :4
identical spacecraft :4
ice spacecraft :4
ice shelf :4
ice fields :4
ice buildup :4
icbm development :4
icarus asteroid :4
ibm corp :4
ib boosters :4
h—1 engines :4
hypervelocity impact :4
hydroplaning speed :4
hydrogen maser :4
hydrogen leak :4
hydrogen helium :4
hydrogen engines :4
hydrogen engine :4
hydrogen clouds :4
hydraulic systems :4
hydraulic pump :4
hydraulic lines :4
hy nasa :4
hurricane betsy :4
hunter satellite :4
hungary poland :4
hundredth anniversary :4
humphrey accompanied :4
human welfare :4
human society :4
human ingenuity :4
human existence :4
human endurance :4
human capabilities :4
huge saturn :4
hudson bay :4
hubbard medal :4
htns wash :4
hrs flown :4
hrs 58 :4
hrs 46 :4
hrs 39 :4
hrs 38 :4
hrs 25 :4
hrs 18 :4
hrs 16 :4
hr 9058 :4
hr 8825 :4
hr 8747 :4
hr 7830 :4
hr 43 :4
hr 38 :4
hr 35 :4
hr 30 :4
hr 25 :4
hr 19830 :4
hr 15856 :4
hr 15572 :4
hr 15093 :4
hr 14324 :4
hr 12711 :4
hr 11487 :4
hr 10243 :4
hq officials :4
hq effective :4
howell d :4
howard univ :4
howard j :4
houston plasmaphysics :4
hours exploring :4
hours daily :4
hours 53 :4
hours 45 :4
host country :4
hornig president :4
horizontal takeoff :4
hood tex :4
honored guests :4
honeycomb material :4
holloway usaf :4
holifield dcalif :4
hl engines :4
hit earth :4
history symposia :4
historical society :4
historical report :4
historical publications :4
historical foundation :4
historic site :4
hinners nasas :4
hines reported :4
himat highly :4
hijacked aircraft :4
highspeed reentry :4
highspeed computer :4
highspeed aircraft :4
highresolution pictures :4
highresolution photographs :4
highresolution camera :4
highquality pictures :4
highquality communications :4
highly specialized :4
highly precise :4
highly instrumented :4
highly competitive :4
highest civilian :4
higher levels :4
higher level :4
higher frequencies :4
higher energy :4
highenergy rocket :4
highaltitude winds :4
highaltitude observatory :4
highaltitude flight :4
highaltitude clearair :4
hhr51 1979 :4
hhr50 6th :4
hhr32 1970 :4
hhr29 1968 :4
hh r :4
hh o :4
hess dr :4
herbert holloman :4
herald examiner :4
henry c :4
helsinki finland :4
helium tank :4
helium pressure :4
helium nuclei :4
helium layer :4
helicopter lines :4
helicopter dropped :4
heavy rainfall :4
heavy payload :4
heavy ion :4
heavy equipment :4
heavy cloud :4
heavily involved :4
heavier payloads :4
heavier nuclei :4
heating rates :4
heat sensors :4
heat load :4
heartbeat rates :4
heart transplant :4
heart specialist :4
heart size :4
heart failure :4
heart disease :4
hear ings :4
health services :4
health science :4
health problems :4
headquarters effective :4
headquarters building :4
headed nasas :4
hayes international :4
hayden planetarium :4
having completed :4
harvest moon :4
hartsfield pilot :4
hartsfield jr :4
hartman edwin :4
hartford courant :4
hartford conn :4
harry j :4
harris survey :4
harris corp :4
harper director :4
harold t :4
hardware problems :4
hardware phase :4
hard look :4
hard landing :4
hans m :4
hancock county :4
hammer nyt :4
ham operators :4
halted construction :4
hallion richard :4
hale telescope :4
haggerty jarmed :4
hadleyapennine region :4
hadley rifle :4
hacker barton :4
h wyld :4
h steinbacher :4
h pa :4
h menzel :4
h linder :4
h hodges :4
h flax :4
h edward :4
h dicke :4
gyro package :4
gyo obata :4
gus grissom :4
guion bluford :4
guidance test :4
guidance package :4
guggenheim aeronautical :4
guests including :4
guests included :4
guest speaker :4
guards workers :4
guard icebreaker :4
gte spacenet :4
gsfcs wallops :4
gsfcinstrumented payload :4
gsfc vehicle :4
gsfc instrumented :4
gsfc goddard :4
grumman gulfstream :4
growth experiment :4
growing season :4
groundvibration testing :4
groundbreaking ceremony :4
groundbased radar :4
groundbased observatory :4
groundbased lasers :4
groundbased camera :4
ground speed :4
ground signals :4
ground scientists :4
ground nasa :4
ground measurements :4
ground cameras :4
groton conn :4
grenades detonated :4
grees remarks :4
green constance :4
greatly increase :4
greatly expanded :4
greater scientific :4
greater percentage :4
gravity fields :4
gravitational force :4
gravitational attraction :4
gravel dalaska :4
graphite reactor :4
graphite epoxy :4
grant l :4
grand coulee :4
graduate enrollment :4
gradient synchrotron :4
governmentsponsored research :4
governments role :4
governmentfurnished equipment :4
government team :4
government property :4
government programs :4
government installations :4
government guarantee :4
government furnished :4
government funding :4
government financing :4
government decided :4
government contract :4
government career :4
government approval :4
governing body :4
gov nelson :4
gordon m :4
goodquality tv :4
goodell rny :4
goldwater jr :4
goldstone station :4
gold surface :4
gold medals :4
goes satellite :4
goddard release :4
goddard projects :4
goddard historical :4
globular cluster :4
global samples :4
global navigation :4
global cloudcover :4
glide slope :4
glide path :4
glennan dr :4
gimbaled integral :4
gilruth dr :4
gibson esa :4
giant step :4
giant saturn :4
getaway specials :4
germany reported :4
germany dr :4
german scientific :4
german project :4
german experiments :4
gerhard stoltenberg :4
geosynchronous station :4
geosynchronous satellite :4
geos satellite :4
george alexander :4
geophysicist dr :4
geophysical fluid :4
geomagnetic equator :4
geologically active :4
geological surveys :4
geological features :4
geodetic satellites :4
geodetic control :4
geodesy intelligence :4
gennady strekalov :4
generating systems :4
generating electrical :4
generalaviation fleet :4
gene m :4
gen spaatz :4
gen nikolai :4
gen jacob :4
gen ira :4
gen h :4
gen evans :4
gen don :4
gen crow :4
gen aleksey :4
gemini vm :4
gemini support :4
gemini astronaut :4
gemini 12 :4
geiger tube :4
ge release :4
ge congress :4
gave nasa :4
gave details :4
gatvatlas booster :4
gatv viii :4
gaston palewski :4
gas leak :4
gas laser :4
gas jet :4
gas experiment :4
gary krier :4
gammaray neutron :4
gammaray flux :4
galveston tex :4
galactic nuclei :4
gagarin gold :4
g van :4
g roman :4
g mcconnell :4
g james :4
g j :4
g brewer :4
f—4 phantom :4
f—1 engines :4
fy 89 :4
fy 1984 :4
future unmanned :4
future text :4
future spaceflight :4
future scientific :4
future role :4
future operations :4
future longduration :4
future landing :4
future intelsat :4
future hypersonic :4
future development :4
future cosmonauts :4
future commercial :4
fusion energy :4
further technical :4
further talks :4
further joint :4
further improvement :4
further experimentation :4
funk commander :4
funds increased :4
funds cut :4
funds appropriated :4
funding government :4
fundamental problems :4
fundamental nature :4
fundamental knowledge :4
functioned perfectly :4
functional checks :4
fully tested :4
fully qualified :4
fully loaded :4
fully launched :4
fully extended :4
fully deployed :4
fully automatic :4
fullscale wind :4
fullduration test :4
full scale :4
full responsibility :4
full report :4
full military :4
full load :4
full cooperation :4
fuel valve :4
fuel supplies :4
fuel rockets :4
fuel rocket :4
fuel conservation :4
fuel combustion :4
fuel 19451959 :4
ft underground :4
ft c :4
ft 1965 :4
frutkin nasa :4
fruit juices :4
frozen carbon :4
frontier flight :4
front page :4
frequency spectrum :4
frequency range :4
frequencies broadcast :4
french veronique :4
french payload :4
french nuclear :4
french laser :4
freely available :4
free flyers :4
free flow :4
frederick r :4
frederick g :4
fred nasa :4
fred haise :4
fraser p :4
franklin mint :4
francis scobee :4
francis r :4
france sweden :4
fracture toughness :4
fouryear period :4
fourth nation :4
fourth meeting :4
fourth major :4
fourth anniversary :4
fourstage rocket :4
fourstage blue :4
fourday flight :4
foundation report :4
foundation inc :4
foundation act :4
found near :4
foulois usa :4
forward thrust :4
forward flight :4
fort monmouth :4
formerly held :4
formerly deputy :4
former member :4
former executive :4
former associate :4
former afsc :4
former aec :4
formally accepted :4
foreign users :4
foreign service :4
foreign office :4
foreign military :4
foreign experiments :4
ford foundations :4
forces unification :4
forces space :4
forces aeronautical :4
forced nasa :4
force titan :4
force study :4
force special :4
force scientific :4
force plans :4
force personnel :4
force major :4
force dod :4
force decision :4
force became :4
force awarded :4
football game :4
food fuel :4
following week :4
following splashdown :4
following launch :4
following initial :4
flying saucer :4
flying hrs :4
flying apart :4
flybywire control :4
fly faster :4
fluid flow :4
floyd d :4
flown across :4
flow rate :4
flow electrophoresis :4
flow cell :4
florida east :4
flm baykonur :4
flll fighterbomber :4
flighttest phase :4
flights—2 suborbital :4
flights using :4
flights involving :4
flights 1975 :4
flight speed :4
flight series :4
flight schedules :4
flight received :4
flight reached :4
flight qualification :4
flight propulsion :4
flight problems :4
flight preparation :4
flight portion :4
flight planned :4
flight piloted :4
flight phase :4
flight payload :4
flight originally :4
flight opportunity :4
flight operation :4
flight medicine :4
flight late :4
flight lasting :4
flight lasted :4
flight john :4
flight indicated :4
flight ended :4
flight effort :4
flight design :4
flight dec :4
flight covering :4
flight broke :4
flight award :4
flight assignments :4
flight appeared :4
flight achieved :4
flight 18 :4
flew past :4
flew aboard :4
flat research :4
flat conductor :4
flammable materials :4
fixedpriceincentivefee contract :4
fixedfee contract :4
fiveyear contract :4
fiveman crew :4
fiveday mission :4
five successful :4
five payloads :4
five outer :4
five instruments :4
five groundbased :4
five crew :4
five camera :4
fit checks :4
firms interested :4
firmfixedprice contracts :4
firing thruster :4
fired titan :4
fired sps :4
fired automatically :4
fired 13 :4
fire departments :4
fins discovered :4
finney reported :4
fine structure :4
fine particles :4
fine dust :4
finding evidence :4
financial resources :4
final stages :4
final stage :4
final space :4
final qualification :4
final operational :4
final major :4
final development :4
final determination :4
final descent :4
final cost :4
final agreement :4
final action :4
fighter wing :4
fighter pilots :4
fighter pilot :4
fighter jet :4
fighter aces :4
fifth space :4
fifth nation :4
fifth manned :4
fifteenth anniversary :4
fifteen nations :4
fieldaligned currents :4
field tests :4
field operations :4
field office :4
field including :4
field experiment :4
fidel castro :4
ferry flight :4
ferguson usaf :4
fellow americans :4
fell near :4
feet deep :4
federation iaf :4
federal total :4
federal pay :4
federal outlays :4
federal judge :4
federal expenditures :4
federal bureau :4
february 1973 :4
february 1971 :4
february 1970 :4
february 1965 :4
feb z :4
feb 29 :4
feb 2778 :4
feb 2278 :4
feb 1979 :4
feb 1976 :4
feb 1969 :4
feb 1778 :4
feb 177 :4
feb 1385 :4
features including :4
fcc decision :4
fbis paris :4
fbis hong :4
fbis delhi :4
